NIS code;Woonplaats;Mannen;Vrouwen;Totaal
01000;België;5.660.064;5.832.577;11.492.641
02000;Vlaams Gewest;3.280.498;3.348.645;6.629.143
03000;Waals Gewest;1.781.860;1.863.383;3.645.243
04000;Brussels Hoofdstedelijk Gewest;597.706;620.549;1.218.255
10000;Provincie Antwerpen;927.773;941.957;1.869.730
11000;Arrondissement Antwerpen;524.320;533.416;1.057.736
11001;Aartselaar;7.153;7.274;14.427
11002;Antwerpen;264.763;264.484;529.247
11004;Boechout;6.526;6.846;13.372
11005;Boom;9.242;9.313;18.555
11007;Borsbeek;5.305;5.644;10.949
11008;Brasschaat;18.352;19.871;38.223
11009;Brecht;14.652;14.802;29.454
11013;Edegem;10.722;11.539;22.261
11016;Essen;9.580;9.582;19.162
11018;Hemiksem;5.793;5.841;11.634
11021;Hove (Antwerpen);3.974;4.303;8.277
11022;Kalmthout;9.224;9.648;18.872
11023;Kapellen (Antwerpen);13.167;13.814;26.981
11024;Kontich;10.435;10.768;21.203
11025;Lint;4.295;4.346;8.641
11029;Mortsel;12.704;13.453;26.157
11030;Niel;5.237;5.309;10.546
11035;Ranst;9.601;9.586;19.187
11037;Rumst;7.475;7.575;15.050
11038;Schelle;4.146;4.383;8.529
11039;Schilde;9.720;10.153;19.873
11040;Schoten;16.582;17.734;34.316
11044;Stabroek;9.337;9.452;18.789
11050;Wijnegem;4.841;5.142;9.983
11052;Wommelgem;6.404;6.539;12.943
11053;Wuustwezel;10.668;10.545;21.213
11054;Zandhoven;6.502;6.569;13.071
11055;Zoersel;10.794;11.271;22.065
11056;Zwijndrecht;9.409;9.745;19.154
11057;Malle;7.717;7.885;15.602
12000;Arrondissement Mechelen;170.620;176.505;347.125
12002;Berlaar;5.777;5.879;11.656
12005;Bonheiden;7.319;7.759;15.078
12007;Bornem;10.537;10.816;21.353
12009;Duffel;8.671;8.993;17.664
12014;Heist-op-den-Berg;21.192;21.758;42.950
12021;Lier;17.865;18.781;36.646
12025;Mechelen;42.555;44.366;86.921
12026;Nijlen;11.329;11.607;22.936
12029;Putte;8.849;9.078;17.927
12035;Sint-Katelijne-Waver;10.322;10.704;21.026
12040;Willebroek;13.226;13.600;26.826
12041;Puurs-Sint-Amands;12.978;13.164;26.142
13000;Arrondissement Turnhout;232.833;232.036;464.869
13001;Arendonk;6.654;6.636;13.290
13002;Baarle-Hertog;1.439;1.426;2.865
13003;Balen;11.364;11.449;22.813
13004;Beerse;9.030;9.098;18.128
13006;Dessel;4.811;4.794;9.605
13008;Geel;20.442;20.267;40.709
13010;Grobbendonk;5.597;5.575;11.172
13011;Herentals;13.934;14.338;28.272
13012;Herenthout;4.500;4.609;9.109
13013;Herselt;7.319;7.202;14.521
13014;Hoogstraten;10.891;10.533;21.424
13016;Hulshout;5.255;5.216;10.471
13017;Kasterlee;9.509;9.373;18.882
13019;Lille;8.360;8.204;16.564
13021;Meerhout;5.221;5.103;10.324
13023;Merksplas;4.357;4.231;8.588
13025;Mol;18.416;18.606;37.022
13029;Olen;6.327;6.233;12.560
13031;Oud-Turnhout;6.997;6.980;13.977
13035;Ravels;7.587;7.436;15.023
13036;Retie;5.805;5.703;11.508
13037;Rijkevorsel;6.147;6.031;12.178
13040;Turnhout;22.531;22.749;45.280
13044;Vorselaar;3.981;3.955;7.936
13046;Vosselaar;5.682;5.661;11.343
13049;Westerlo;12.570;12.549;25.119
13053;Laakdal;8.107;8.079;16.186
20001;Provincie Vlaams-Brabant;567.096;588.747;1.155.843
20002;Provincie Waals-Brabant;197.034;208.985;406.019
21000;Arrondissement Brussel-Hoofdstad;597.706;620.549;1.218.255
21001;Anderlecht;60.341;60.546;120.887
21002;Oudergem;16.454;17.950;34.404
21003;Sint-Agatha-Berchem;12.374;13.128;25.502
21004;Brussel;94.549;90.554;185.103
21005;Etterbeek;23.355;25.118;48.473
21006;Evere;20.396;22.260;42.656
21007;Vorst (Brussel-Hoofdstad);27.403;29.178;56.581
21008;Ganshoren;12.063;13.171;25.234
21009;Elsene;42.919;44.713;87.632
21010;Jette;25.324;27.404;52.728
21011;Koekelberg;10.990;10.969;21.959
21012;Sint-Jans-Molenbeek;48.883;49.096;97.979
21013;Sint-Gillis;24.955;24.723;49.678
21014;Sint-Joost-ten-Node;14.395;13.102;27.497
21015;Schaarbeek;65.969;66.830;132.799
21016;Ukkel;39.056;44.924;83.980
21017;Watermaal-Bosvoorde;11.737;13.595;25.332
21018;Sint-Lambrechts-Woluwe;26.861;30.851;57.712
21019;Sint-Pieters-Woluwe;19.682;22.437;42.119
23000;Arrondissement Halle-Vilvoorde;313.872;329.894;643.766
23002;Asse;16.383;17.122;33.505
23003;Beersel;12.497;12.846;25.343
23009;Bever;1.098;1.080;2.178
23016;Dilbeek;20.979;22.444;43.423
23023;Galmaarden;4.375;4.461;8.836
23024;Gooik;4.531;4.658;9.189
23025;Grimbergen;18.326;19.646;37.972
23027;Halle (Halle-Vilvoorde);19.466;20.716;40.182
23032;Herne;3.276;3.423;6.699
23033;Hoeilaart;5.587;5.821;11.408
23038;Kampenhout;5.960;6.169;12.129
23039;Kapelle-op-den-Bos;4.612;4.889;9.501
23044;Liedekerke;6.539;6.858;13.397
23045;Londerzeel;9.274;9.587;18.861
23047;Machelen (Halle-Vilvoorde);7.618;7.987;15.605
23050;Meise;9.557;10.070;19.627
23052;Merchtem;8.238;8.528;16.766
23060;Opwijk;7.218;7.528;14.746
23062;Overijse;12.492;13.005;25.497
23064;Pepingen;2.270;2.267;4.537
23077;Sint-Pieters-Leeuw;16.923;17.698;34.621
23081;Steenokkerzeel;6.007;6.272;12.279
23086;Ternat;7.888;8.124;16.012
23088;Vilvoorde;22.086;23.409;45.495
23094;Zaventem;17.002;17.780;34.782
23096;Zemst;11.404;11.856;23.260
23097;Roosdaal;5.756;5.909;11.665
23098;Drogenbos;2.646;3.007;5.653
23099;Kraainem;6.696;7.157;13.853
23100;Linkebeek;2.213;2.483;4.696
23101;Sint-Genesius-Rode;8.940;9.579;18.519
23102;Wemmel;8.178;8.636;16.814
23103;Wezembeek-Oppem;6.831;7.438;14.269
23104;Lennik;4.466;4.630;9.096
23105;Affligem;6.540;6.811;13.351
24000;Arrondissement Leuven;253.224;258.853;512.077
24001;Aarschot;14.768;15.415;30.183
24007;Begijnendijk;5.024;5.232;10.256
24008;Bekkevoort;3.227;3.105;6.332
